Alysicarpus vaginalis	(L.) DC.	white moneywort
Amaranthus australis	(A. Gray) Sauer	southern amaranth
Amaranthus blitum	L.	purple amaranth
Amaranthus blitum var. emarginatus	L.	purple amaranth
Amaranthus caudatus	L.	foxtail amaranth
Amaranthus crassipes	Schltdl.	spreading amaranth
Amaranthus crassipes var. crassipes	Schltdl.	spreading amaranth
Amaranthus cruentus	L.	red amaranth
Amaranthus dubius	Mart. ex Thell.	spleen amaranth
Amaranthus spinosus	L.	spiny amaranth
Amaranthus tricolor	L.	Joseph's-coat
Ambrosia confertiflora	DC.	weakleaf bur ragweed
Ambrosia hispida	Pursh	coastal ragweed
Ambrosia peruviana	Willd.	Peruvian ragweed
Ambrosia tenuifolia	Spreng.	slimleaf bur ragweed
Ammannia auriculata	Willd.	eared redstem
Ammannia baccifera	L.	monarch redstem
Ammannia coccinea	Rottb.	valley redstem
Ammannia latifolia	L.	pink redstem
Amphilophium paniculatum	(L.) Kunth	liana de cuello
Amphitecna latifolia	(Mill.) A.H. Gentry	black calabash
Amyris balsamifera	L.	balsam torchwood
Amyris elemifera	L.	sea torchwood
Anacardium occidentale	L.	cashew
Anadenanthera peregrina	(L.) Speg.	cohoba tree
Anagallis arvensis	L.	scarlet pimpernel
Ananas comosus	(L.) Merr.	pineapple
Andira inermis	(W. Wright) Kunth ex DC.	cabbagebark tree
Andropogon bicornis	L.	barbas de indio
Andropogon glomeratus var. pumilus	(Walter) Britton, Sterns & Poggenb.	bushy bluestem
Andropogon glomeratus	(Walter) Britton, Sterns & Poggenb.	bushy bluestem
Andropogon gracilis	Spreng.	wire bluestem
Andropogon leucostachyus	Kunth	matojillo bluestem
Andropogon virginicus	L.	broomsedge bluestem
Andropogon virginicus var. virginicus	L.	broomsedge bluestem
Anechites nerium	(Aubl.) Urb.	Natal plum
Anemia adiantifolia	(L.) Sw.	pineland fern
Anemia hirsuta	(L.) Sw.	hairy flowering fern
Anemia hirta	(L.) Sw.	streambank flowering fern
Anemia portoricensis	Maxon	Puerto Rico flowering fern
Anethum graveolens	L.	dill
Anetium citrifolium	(L.) Splitg.	treetrunk fern
Angelonia salicariifolia	Humb. & Bonpl.	willowleaf angelon
Aniba bracteata	(Nees) Mez	canelillo
Aniseia martinicensis	(Jacq.) Choisy	whitejacket
Aniseia martinicensis var. nitens	(Jacq.) Choisy	whitejacket
Annona cherimola	Mill.	cherimoya
Annona glabra	L.	pond apple
Annona montana	Macfad.	mountain soursop
Annona muricata	L.	soursop
Annona reticulata	L.	custard apple
Annona squamosa	L.	sugar apple
Anoda cristata	(L.) Schltdl.	crested anoda
Anopteris hexagona	(L.) C. Chr.	Moore's brake
Anredera cordifolia	(Ten.) Steenis	heartleaf madeiravine
Anredera vesicaria	(Lam.) C.F. Gaertn.	Texas madeiravine
Anthephora hermaphrodita	(L.) Kuntze	oldfield grass
Anthurium cordatum	(L.) Schott	Organ Mountain laceleaf
Anthurium crenatum	(L.) Kunth	scalloped laceleaf
Anthurium dominicense	Schott	lengua de vaca
Anthurium scandens	(Aubl.) Engl.	pearl laceleaf
Antidaphne wrightii	(Griseb.) Kuijt	Wright's catkin mistletoe
Antigonon guatemalense	Meisn.	bellisima grande
Antigonon leptopus	Hook. & Arn.	coral vine
Antirhea acutata	(DC.) Urb.	placa chiquitu
Antirhea coriacea	(Vahl) Urb.	pegwood
Antirhea lucida	(Sw.) Hook. f.	palo iloron
Antirhea obtusifolia	Urb.	quina roja
Antirhea portoricensis	(Britton & P. Wilson) Standl.	Puerto Rico quina
Antirhea sintenisii	Urb.	Sintenis' quina
Antrophyum cajenense	(Desv.) Spreng.	forked lineleaf fern
Antrophyum intramarginale	(Baker ex Jenman) Kartesz & Gandhi	tufted lineleaf fern
Antrophyum lanceolatum	(L.) Kaulf.	straight lineleaf fern
Antrophyum lineatum	(Sw.) Kaulf.	narrow lineleaf fern
Antrophyum urbanii	Brause	Urban's lineleaf fern
Apteria aphylla	(Nutt.) Barnhart ex Small	nodding nixie
Arachis hypogaea	L.	peanut
Arachis repens	Handro	creeping peanut
Arachniodes chaerophylloides	(Poir.) Proctor	false hollyfern
Ardisia glauciflora	Urb.	ausubon
Ardisia luquillensis	(Britton) Alain	mountain marlberry
Ardisia obovata	Desv. ex Ham.	Guadeloupe marlberry
Ardisia solanacea	Roxb.	China-shrub
Argemone mexicana	L.	Mexican pricklypoppy
Argusia gnaphalodes	(L.) Heine	sea rosemary
Argyreia nervosa	(Burm. f.) Bojer	elephant creeper
Argythamnia candicans	Sw.	sharpleaf silverbush
Argythamnia fasciculata	(Vahl ex A. Juss.) Müll. Arg.	broom silverbush
Argythamnia stahlii	Urb.	bluntleaf silverbush
Aristida adscensionis	L.	sixweeks threeawn
Aristida chaseae	Hitchc.	Chase's threeawn
Aristida portoricensis	Pilg.	pelos del diablo
Aristida refracta	Griseb.	islandthicket threeawn
Aristida spiciformis	Elliott	bottlebrush threeawn
Aristida suringarii	Henr.	St. Eustatius threeawn
Aristida swartziana	Steud.	Swartz's threeawn
Aristolochia bilabiata	L.	West Indian dutchman's pipe
Aristolochia elegans	Mast.	elegant dutchman's pipe
Aristolochia ringens	Vahl	gaping dutchman's pipe
Aristolochia trilobata	L.	bejuco de santiago
Arrabidaea chica	(Humb. & Bonpl.) Verl.	cricketvine
Arracacia xanthorrhiza	E.N. Bancroft	arracacha
Arthraxon castratus	(Griffiths) Naray. ex Bor	castrate carpetgrass
Arthrostemma fragile	Lindl.	fragile pinkfringe
Arthrostylidium farctum	(Aubl.) Soderstr. & Lourteig.	old man's beard
Arthrostylidium multispicatum	Pilg.	woodland climbing bamboo
Arthrostylidium sarmentosum	Pilg.	forest climbing bamboo
Artocarpus altilis	(Parkinson) Fosberg	breadfruit
Artocarpus heterophyllus	Lam.	jackfruit
Arundina graminifolia	(D. Don) Hochr.	bamboo orchid
Arundinella hispida	(Humb. & Bonpl. ex Willd.) Kuntze	rabo de gato
Arundo donax	L.	giant reed
Asclepias curassavica	L.	bloodflower
Asclepias nivea	L.	Caribbean milkweed
Asparagus aethiopicus	L.	Sprenger's asparagus fern
Asparagus setaceus	(Kunth) Jessop	common asparagus fern
Asplenium abscissum	Willd.	cutleaf spleenwort
Asplenium auriculatum	Sw.	treetrunk spleenwort
Asplenium cirrhatum	Rich. ex Willd.	chestnut scale spleenwort
Asplenium corderoanum	Proctor	Rio Abajo spleenwort
Asplenium cristatum	Lam.	parsley spleenwort
Asplenium cuneatum	Lam.	wedgeleaf spleenwort
Asplenium erosum	L.	eared spleenwort
Asplenium feei	Kunze ex Fée	Fee's spleenwort
Asplenium flabellulatum	Kunze	Latin American spleenwort
Asplenium formosum	Willd.	showy spleenwort
Asplenium heterochroum	Kunze	bicolored spleenwort
Asplenium juglandifolium	Lam.	walnut spleenwort
Asplenium laetum	Sw.	brownstem spleenwort
Asplenium obtusifolium	L.	bluntleaf spleenwort
Asplenium ocoense	C. Chr.	rockledge spleenwort
Asplenium pseudoerectum	Hieron.	Antilles spleenwort
Asplenium pteropus	Kaulf.	West Indian spleenwort
Asplenium pumilum	Sw.	dwarf spleenwort
Asplenium radicans	L.	dullgreen spleenwort
Asplenium rhomboidale	Desv.	Caribbean spleenwort
Asplenium rutaceum	(Willd.) Mett.	rue spleenwort
Asplenium salicifolium	L.	willowleaf spleenwort
Asplenium serra	Langsd. & Fisch.	creeping spleenwort
Asplenium serratum	L.	wild birdnest fern
Asplenium sessilifolium	Desv.	Hispaniolan spleenwort
