Abelmoschus esculentus	okra
Crescentia portoricensis	higuero de sierra
Crinum zeylanicum	Ceylon swamplily
Critonia portoricensis	Puerto Rico thoroughwort
Crocosmia ×crocosmiiflora	montbretia
Crossopetalum rhacoma	maidenberry
Crotalaria berteriana	Berteron's rattlebox
Crotalaria brevidens	Ethiopian rattlebox
Crotalaria incana	shakeshake
Crotalaria juncea	sunn hemp
Crotalaria lotifolia	cascabelillo axilar
Crotalaria micans	Caracas rattlebox
Crotalaria pallida	smooth rattlebox
Crotalaria retusa	rattleweed
Crotalaria rotundifolia	rabbitbells
Crotalaria sagittalis	arrowhead rattlebox
Crotalaria saltiana	African rattlebox
Crotalaria spectabilis	showy rattlebox
Crotalaria stipularia	cascabelillo alado
Crotalaria trichotoma	West Indian rattlebox
Crotalaria verrucosa	blue rattlesnake
Croton astroites	wild marrow
Croton betulinus	beechleaf croton
Croton discolor	lechecillo
Croton flavens	yellow balsam
Croton glandulosus	vente conmigo
Croton humilis	pepperbush
Croton impressus	Puerto Rico croton
Croton lobatus	lobed croton
Croton lucidus	firebush
Croton nummulariifolius	money croton
Croton ovalifolius	yerba
Croton poecilanthus	sabinon
Croton stenophyllus	West Indian croton
Cryptostegia grandiflora	Palay rubbervine
Cryptostegia madagascariensis	Madagascar rubbervine
Ctenitis hirta	diamondleaf lacefern
Ctenitis nemorosa	eggleaf lacefern
Cucumis anguria	West Indian gherkin
Cucumis melo	cantaloupe
Cucumis sativus	garden cucumber
Cucurbita maxima	winter squash
Cucurbita moschata	crookneck squash
Cucurbita pepo	field pumpkin
Cupania americana	wild ackee
Cupania triquetra	guara blanca
Cuphea hyssopifolia	false heather
Cuphea micrantha	tinypetal waxweed
Cuphea parsonsia	island waxweed
Cuphea strigulosa	stiffhair waxweed
Curculigo capitulata	palm-grass
Curculigo scorzonerifolia	gorgojo
Curcuma longa	common turmeric
Cuscuta americana	American dodder
Cuscuta boldinghii	Boldingh's dodder
Cuscuta globulosa	West Indian dodder
Cuscuta indecora	bigseed alfalfa dodder
Cuscuta obtusiflora	Peruvian dodder
Cuscuta pentagona	fiveangled dodder
Cuscuta umbellata	flatglobe dodder
Cyanthillium cinereum	little ironweed
Cyathea andina	parrotfeather treefern
Cyathea arborea	West Indian treefern
Cyathea armata	creeping treefern
Cyathea borinquena	birdwing treefern
Cyathea furfuracea	Jamaican treefern
Cyathea parvula	small treefern
Cyathea pungens	spiny treefern
Cyathea tenera	helecho gigante
Cyathula prostrata	pastureweed
Cybianthus sintenisii	Puerto Rico ridgerunner
Cycas circinalis	queen sago
Cycas revoluta	sago palm
Cyclopeltis semicordata	lime fern
Cyclopogon cranichoides	cranichis-like ladies'-tresses
Cyclopogon elatus	tall ladies'-tresses
Cyclopogon miradorense	Mirador green ladies'-tresses
Cyclospermum leptophyllum	marsh parsley
Cydista aequinoctialis	guard withe
Cymbocarpa refracta	cat's milk
Cymbopogon citratus	lemon grass
Cymbopogon nardus	citronella grass
Cymodocea filiformis	manatee grass
Cynanchum anegadense	Caribbean swallow-wort
Cynanchum cheesmanii	Cheesman's swallow-wort
Cynanchum cubense	Cuban swallow-wort
Cynanchum ephedroides	Puerto Rico swallow-wort
Cynanchum grisebachianum	Grisebach's swallow-wort
Cynanchum lineare	West Indian swallow-wort
Cynanchum monense	Mona Island swallow-wort
Cynanchum parviflorum	smallflower swallow-wort
Cynodon dactylon	Bermudagrass
Cynodon nlemfuensis	African Bermudagrass
Cynoglossum amabile	Chinese hound's tongue
Cynoglossum furcatum	Ceylon hound's tongue
Cynometra portoricensis	oreganillo falso
Cyperus aggregatus	inflatedscale flatsedge
Cyperus articulatus	jointed flatsedge
Cyperus calcicola	Caribbean flatsedge
Cyperus compressus	poorland flatsedge
Cyperus confertus	West Indian flatsedge
Cyperus croceus	Baldwin's flatsedge
Cyperus difformis	variable flatsedge
Cyperus digitatus	finger flatsedge
Cyperus distans	Piedmont flatsedge
Cyperus elegans	royal flatsedge
Cyperus entrerianus	woodrush flatsedge
Cyperus esculentus	yellow nutsedge
Cyperus filiformis	wiry flatsedge
Cyperus flavescens	yellow flatsedge
Cyperus flexuosus	Vahl's flatsedge
Cyperus floridanus	Florida flatsedge
Cyperus fuligineus	limestone flatsedge
Cyperus giganteus	giant flatsedge
Cyperus haspan	haspan flatsedge
Cyperus imbricatus	shingle flatsedge
Cyperus involucratus	umbrella plant
Cyperus iria	ricefield flatsedge
Cyperus laevigatus	smooth flatsedge
Cyperus ligularis	Alabama swamp flatsedge
Cyperus mutisii	Mutis' flatsedge
Cyperus nanus	Indian flatsedge
Cyperus ochraceus	pond flatsedge
Cyperus odoratus	fragrant flatsedge
Cyperus papyrus	papyrus
Cyperus planifolius	flatleaf flatsedge
Cyperus polystachyos	manyspike flatsedge
Cyperus pulguerensis	El Pulguero flatsedge
Cyperus rotundus	nutgrass
Cyperus sphacelatus	roadside flatsedge
Cyperus surinamensis	tropical flatsedge
Cyperus swartzii	Swartz's flatsedge
Cyperus tenuis	crevice flatsedge
Cyperus unioloides	uniola flatsedge
Cyperus urbanii	Urban's flatsedge
Cyperus virens	green flatsedge
Cypselea humifusa	panal
Cyrilla racemiflora	swamp titi
Cyrtopodium punctatum	cowhorn orchid
Dacryodes excelsa	candletree
Dactylis glomerata	orchardgrass
Dactyloctenium aegyptium	Egyptian grass
Dalbergia ecastaphyllum	coinvine
Dalbergia monetaria	moneybush
Dalbergia sissoo	Indian rosewood
Dalea carthagenensis	Cartagena prairie clover
Dalechampia scandens	spurgecreeper
Danaea elliptica	Caribbean danafern
Danaea jamaicensis	Jamaican danafern
Danaea jenmanii	Puerto Rico danafern
Danaea nodosa	nodeless danafern
Danaea urbanii	forest danafern
Daphnopsis americana	burn nose
Daphnopsis helleriana	Heller's cieneguillo
Daphnopsis philippiana	emajagua de sierra
Datura inoxia	pricklyburr
Datura stramonium	jimsonweed
Datura wrightii	sacred thorn-apple
Daucus carota	Queen Anne's lace
Delonix regia	royal poinciana
Dendropanax arboreus	angelica tree
Dendropanax laurifolius	palo de vaca
Dendropemon bicolor	Puerto Rico leechbush
Dendropemon caribaeus	four-angle leechbush
Dendropemon purpureus	smooth leechbush
Dendropemon sintenisii	hicaquillo
Dendrophthora domingensis	Cuban tree destroyer
Dendrophthora flagelliformis	Caribbean tree destroyer
Dendrophthora serpyllifolia	Hispaniolan tree destroyer
Dennstaedtia bipinnata	cuplet fern
Dennstaedtia cicutaria	tropical hayscented fern
Dennstaedtia globulifera	southern hayscented fern
Dennstaedtia obtusifolia	bluntleaf hayscented fern
Desmanthus leptophyllus	slenderleaf bundleflower
Desmanthus pernambucanus	pigeon bundleflower
Desmanthus virgatus	wild tantan
Desmodium adscendens	zarzabacoa galana
Desmodium affine	amor seco
Desmodium axillare	zarzabacoa de monte
Desmodium barbatum	zarzabacoa peluda
Desmodium cubense	Cuban ticktrefoil
Desmodium glabrum	zarzabacoa dulce
Desmodium incanum	zarzabacoa comun
Desmodium intortum	greenleaf ticktrefoil
Desmodium procumbens	western trailing ticktrefoil
Desmodium scorpiurus	scorpion ticktrefoil
Desmodium tortuosum	dixie ticktrefoil
Desmodium triflorum	threeflower ticktrefoil
Desmodium wydlerianum	Wydler's ticktrefoil
Dichaea hystricina	arboreal leafystem orchid
Dichaea latifolia	mountain leafystem orchid
Dichaea pendula	Swartz's leafystem orchid
Dichanthelium aciculare	needleleaf rosette grass
Dichanthelium acuminatum	tapered rosette grass
Dichanthelium dichotomum	cypress panicgrass
Dichanthelium leucothrix	rough panicgrass
Dichanthelium ovale	eggleaf rosette grass
Dichanthelium sabulorum	hemlock rosette grass
Dichanthelium scoparium	velvet panicum
Dichanthelium strigosum	roughhair rosette grass
Dichanthium annulatum	Kleberg's bluestem
Dichanthium aristatum	Angleton bluestem
Dichondra micrantha	Asian ponysfoot
Dicliptera krugii	Krug's foldwing
Dicliptera martinicensis	Martinique foldwing
Dicliptera sexangularis	sixangle foldwing
Dicranopteris flexuosa	drooping forkedfern
Dicranopteris pectinata	comb forkedfern
Dicranopteris rubiginosa	tropical forkedfern
Diectomis fastigiata	foldedleaf grass
Dieffenbachia seguine	dumbcane
Digitaria argillacea	tropical crabgrass
Digitaria bicornis	Asian crabgrass
Digitaria ciliaris	southern crabgrass
Digitaria dolichophylla	Caribbean crabgrass
Digitaria eriantha	digitgrass
Digitaria horizontalis	Jamaican crabgrass
Digitaria insularis	sourgrass
Digitaria ischaemum	smooth crabgrass
Digitaria longiflora	Indian crabgrass
Digitaria nuda	naked crabgrass
Digitaria panicea	millet crabgrass
Digitaria sanguinalis	hairy crabgrass
Digitaria setigera	East Indian crabgrass
Digitaria similis	roadside crabgrass
Digitaria villosa	shaggy crabgrass
Digitaria violascens	violet crabgrass
Dillenia indica	chulta
Dilomilis montana	parrotbeak orchid
Dioclea hexandra	bejuco de mato
Diodia apiculata	stiff buttonweed
Diodia ocymifolia	slender buttonweed
Diodia sarmentosa	tropical buttonweed
Diodia serrulata	seaside buttonweed
Dioscorea alata	water yam
Dioscorea altissima	dunguey
Dioscorea bulbifera	air yam
Dioscorea cayenensis	yellow guinea yam
Dioscorea esculenta	lesser yam
Dioscorea pilosiuscula	bulbous yam
Dioscorea polygonoides	mata gallina
Dioscorea rotundata	Guinea yam
Dioscorea trifida	Indian yam
Dioscorea villosa	wild yam
Diospyros revoluta	black apple
Diospyros sintenisii	Chinese persimmon
Diplazium centripetale	royal twinsorus fern
Diplazium cristatum	crested twinsorus fern
Diplazium expansum	great fern
Diplazium grandifolium	largeleaf twinsorus fern
Diplazium hymenodes	peacock fern
Diplazium lherminieri	L'herminier's twinsorus fern
Diplazium plantaginifolium	plantainleaf twinsorus fern
Diplazium riedelianum	Riedel's twinsorus fern
Diplazium striatum	striped twinsorus fern
Diplazium unilobum	singlelobe twinsorus fern
Dissotis rotundifolia	pinklady
Distictis lactiflora	liana fragante
Ditta myricoides	jaboncillo
Dodonaea viscosa	Florida hopbush
Doliocarpus major	caskfruit
Doliocarpus olivaceus	green caskfruit
Domingoa haematochila	mona
Dorstenia contrajerva	tusilla
Doryopteris pedata	digit fern
Dovyalis hebecarpa	Ceylon gooseberry
Doyerea emetocathartica	coralfruit
Dracaena fragrans	fragrant dracaena
Dracontium asperum	dracontium
Dracontium polyphyllum	guapa
Dracunculus vulgaris	common dracunculus
Drosera capillaris	pink sundew
Drymaria cordata	whitesnow
Drypetes alba	cafeillo
Drypetes glauca	varital
Drypetes ilicifolia	rosewood
Drypetes lateriflora	guiana plum
Duranta erecta	golden dewdrops
Dypsis lutescens	yellow butterfly palm
Dysphania ambrosioides	Mexican tea
Echinochloa colona	jungle rice
Echinochloa crus-galli	barnyardgrass
Echinochloa crus-pavonis	gulf cockspur grass
Echinochloa polystachya	creeping river grass
Echinochloa stagnina	hippo grass
Echinodorus berteroi	upright burhead
Echinodorus bolivianus	Bolivian burhead
Echinodorus tenellus	mudbabies
Eclipta prostrata	false daisy
Egeria densa	Brazilian waterweed
Eichhornia azurea	anchored water hyacinth
Eichhornia crassipes	common water hyacinth
Eichhornia diversifolia	variableleaf water hyacinth
Elaphoglossum apodum	Caribbean tonguefern
Elaphoglossum chartaceum	papery tonguefern
Elaphoglossum crinitum	West Indian tonguefern
Elaphoglossum decoratum	showy tonguefern
Elaphoglossum eggersii	Jamaican tonguefern
Elaphoglossum erinaceum	Guadeloupe tonguefern
Elaphoglossum glabellum	thickroot tonguefern
Elaphoglossum herminieri	drooping tonguefern
Elaphoglossum latifolium	broadleaf tonguefern
Elaphoglossum longifolium	longleaf tonguefern
Elaphoglossum martinicense	Martinique tonguefern
Elaphoglossum maxonii	Maxon's tonguefern
Elaphoglossum peltatum	peltate tonguefern
Elaphoglossum petiolatum	graceful tonguefern
Elaphoglossum rigidum	stiff tonguefern
Elaphoglossum serpens	cerro de punta jayuya
Elaphoglossum simplex	Rio Grande tonguefern
Elaphoglossum smithii	Smith's tonguefern
Elaphoglossum spathulatum	Antilles tonguefern
Eleocharis cellulosa	Gulf Coast spikerush
Eleocharis debilis	Sintenis' Spike-Rush
Eleocharis elegans	elegant spikerush
Eleocharis fallax	creeping spikerush
Eleocharis flavescens	yellow spikerush
Eleocharis geniculata	Canada spikesedge
Eleocharis interstincta	knotted spikerush
Eleocharis microcarpa	smallfruit spikerush
Eleocharis montana	mountain spikerush
Eleocharis mutata	scallion grass
Eleocharis oligantha	fewflowered spikerush
Eleocharis olivacea	bright green spikerush
Eleocharis pachycarpa	black sand spikerush
Eleocharis pachystyla	false junco
Eleocharis radicans	rooted spikerush
Eleocharis retroflexa	coastal plain spikerush
Eleocharis rostellata	beaked spikerush
Elephantopus mollis	soft elephantsfoot
Eleusine indica	Indian goosegrass
Eleutheranthera ruderalis	ogiera
Eleutherine bulbosa	lagrimas de la virgen
Elleanthus cordidactylus	false tiger orchid
Elodea canadensis	Canadian waterweed
Eltroplectris calcarata	longclaw orchid
Emilia coccinea	scarlet tasselflower
Emilia fosbergii	Florida tasselflower
Emilia sonchifolia	lilac tasselflower
Encyclia gravida	heavyfruit butterfly orchid
Encyclia isochila	royal star orchid
Enicostema verticillatum	whitehead
Entada polystachya	callingcard vine
Enterolobium cyclocarpum	monkeysoap
Enterosora trifurcata	threefork polypody
Enydra sessilis	smallray swampwort
Epidendrum anceps	brown-flower butterfly orchid
Epidendrum antillanum	Antilles star orchid
Epidendrum boricuarum	fleshy star orchid
Epidendrum carpophorum	round-leaf star orchid
Epidendrum ciliare	fringed star orchid
Epidendrum jamaicense	umbrella star orchid
Epidendrum miserrimum	woodland tuftedorchid
Epidendrum mutelianum	orange-flower star orchid
Epidendrum nocturnum	night scented orchid
Epidendrum radicans	fire star orchid
Epidendrum ramosum	mountain star orchid
Epidendrum rigidum	stiff flower star orchid
Epidendrum secundum	lopsided star orchid
Epidendrum tridens	oblong-leaf star orchid
Epidendrum vicentinum	guilarte
Epiphyllum hookeri	climbing cactus
Epiphyllum oxypetalum	Dutchman's pipe cactus
Epipremnum pinnatum	centipede tongavine
Episcia cupreata	flame violet
Eragrostis amabilis	Japanese lovegrass
Eragrostis barrelieri	Mediterranean lovegrass
Eragrostis ciliaris	gophertail lovegrass
Eragrostis curvula	weeping lovegrass
Eragrostis elliottii	field lovegrass
Eragrostis glutinosa	sticky lovegrass
Eragrostis hypnoides	teal lovegrass
Eragrostis pectinacea	tufted lovegrass
Eragrostis pilosa	Indian lovegrass
Eragrostis urbaniana	Urban's lovegrass
Erechtites hieraciifolius	American burnweed
Erechtites valerianifolius	tropical burnweed
Eremochloa ophiuroides	centipede grass
Erigeron bellioides	bellorita
Erigeron cuneifolius	wedgeleaf fleabane
Erigeron jamaicensis	Jamaican fleabane
Eriobotrya japonica	loquat
Eriochloa polystachya	Caribgrass
Eriochloa punctata	Louisiana cupgrass
Eriochrysis cayennensis	moco de pavo
Eriosema crinitum	island sand pea
Eriosorus hispidulus	chestnuthair fern
Erithalis fruticosa	blacktorch
Erithalis odorifer	scented blacktorch
Ernodea littoralis	coughbush
Erpodium domingense	Domingo erpodium moss
Eryngium foetidum	spiritweed
Erythrina berteriana	machete
Erythrina corallodendron	coral erythrina
Erythrina crista-galli	crybabytree
Erythrina eggersii	cock's spur
Erythrina fusca	bucayo
Erythrina poeppigiana	mountain immortelle
Erythrina variegata	tiger's claw
Erythrodes hirtella	Cuban false helmetorchid
Erythrodes plantaginea	Caribbean false helmetorchid
Erythroxylum areolatum	swamp-redwood
Erythroxylum brevipes	brisselet
Erythroxylum rotundifolium	ratwood
Erythroxylum rufum	rufous false cocaine
Erythroxylum urbanii	Urban's false cocaine
Etlingera elatior	torch-ginger
Eubrachion ambiguum	tapeworm-plant
Eucalyptus camaldulensis	river redgum
Eucalyptus deglupta	Indonesian gum
Eucalyptus resinifera	redmahogany
Eucalyptus robusta	swampmahogany
Eucharis amazonica	Amazonlily
Euclasta condylotricha	mock bluestem
Eugenia axillaris	white stopper
Eugenia bellonis	Puerto Rico stopper
Eugenia biflora	blackrodwood
Eugenia boqueronensis	Sierra de Cayey stopper
Eugenia borinquensis	guayabota de sierra
Eugenia cacuminis	cerro la torrecilla stopper
Eugenia confusa	redberry stopper
Eugenia cordata	lathberry
Eugenia corozalensis	sperry guava
Eugenia domingensis	serrette guave
Eugenia eggersii	guasabara
Eugenia fajardensis	guayabota de Fajardo
Eugenia foetida	boxleaf stopper
Eugenia glabrata	smooth rodwood
Eugenia haematocarpa	Luquillo Mountain stopper
Eugenia laevis	bayamon stopper
Eugenia ligustrina	privet stopper
Eugenia monticola	birdcherry
Eugenia padronii	padron's stopper
Eugenia procera	rockmyrtle
Eugenia pseudopsidium	Christmas cherry
Eugenia rhombea	red stopper
Eugenia serrasuela	serrasuela
Eugenia sessiliflora	sessileleaf stopper
Eugenia stahlii	Stahl's stopper
Eugenia stewardsonii	Stewardson's stopper
Eugenia underwoodii	Underwood's stopper
Eugenia uniflora	Surinam cherry
Eugenia woodburyana	Woodbury's stopper
Eugenia xerophytica	aridland stopper
Eulophia alta	wild coco
Eupatorium ×pinnatifidum	thoroughwort
Eupatorium triplinerve	yapana
Euphorbia cotinifolia	Mexican shrubby spurge
Euphorbia cyathophora	fire on the mountain
Euphorbia heterophylla	Mexican fireplant
Euphorbia lactea	mottled spurge
Euphorbia leucocephala	pascuita
Euphorbia milii	christplant
Euphorbia neriifolia	Indian spurgetree
Euphorbia oerstediana	West Indian spurge
Euphorbia petiolaris	manchineel berry
Euphorbia pulcherrima	poinsettia
Euphorbia tirucalli	Indiantree spurge
Eurystyles ananassocomos	custard orchid
Eustachys petraea	pinewoods fingergrass
Evolvulus alsinoides	slender dwarf morning-glory
Evolvulus convolvuloides	bindweed dwarf morning-glory
Evolvulus grisebachii	Grisebach's dwarf morning-glory
Evolvulus nummularius	agracejo rastrero
Evolvulus sericeus	silver dwarf morning-glory
Exostema caribaeum	Caribbean princewood
Exostema ellipticum	plateado
Exothea paniculata	butterbough
Fadyenia hookeri	dotted fern
Faramea occidentalis	false coffee
Fatoua villosa	hairy crabweed
Fevillea cordifolia	antidote caccoon
Ficus americana	Jamaican cherry fig
Ficus benjamina	weeping fig
Ficus carica	edible fig
Ficus citrifolia	wild banyantree
Ficus drupacea	brown-woolly fig
Ficus elastica	Indian rubberplant
Ficus lutea	Lagos rubbertree
Ficus lyrata	fiddleleaf fig
Ficus microcarpa	Chinese banyan
Ficus pumila	climbingfig
Ficus religiosa	peepul tree
Ficus stahlii	jaguey
Ficus thonningii	fig
Ficus trigonata	jaguey blanco
Fimbristylis complanata	Puerto Rico fimbry
Fimbristylis cymosa	hurricanegrass
Fimbristylis dichotoma	forked fimbry
Fimbristylis ferruginea	West Indian fimbry
Fimbristylis littoralis	fimbry
Fimbristylis quinquangularis	fiveangle fimbry
Fimbristylis spadicea	
Fioria vitifolia	tropical fanleaf
Flacourtia indica	governor's plum
Flacourtia inermis	batoko plum
Flaveria bidentis	coastal plain yellowtops
Flaveria trinervia	clustered yellowtops
Fleischmannia microstemon	tropical thoroughwort
Flemingia strobilifera	wildhops
Flueggea acidoton	simpleleaf bushweed
Flueggea virosa	common bushweed
Foeniculum vulgare	sweet fennel
Forchhammeria brevipes	shortstalk forchhammeria
Forchhammeria polyandra	manystamen forchhammeria
Forestiera eggersiana	inkbush
Forestiera rhamnifolia	caca ravet
Forestiera segregata	Florida swampprivet
Forsteronia corymbosa	leche de perra
Fortunella margarita	oval kumquat
Frangula sphaerosperma	West Indian buckthorn
Fraxinus uhdei	shamel ash
Fuirena robusta	
Fuirena umbellata	yefen
Funtumia elastica	silkrubber
Furcraea antillana	Antillean furcraea
Furcraea tuberosa	female karata
Galactia dubia	West Indian milkpea
Galactia longifolia	longleaf milkpea
Galactia striata	Florida hammock milkpea
Galeandra beyrichii	Beyrich's hooded orchid
Galinsoga parviflora	gallant soldier
Galinsoga quadriradiata	shaggy soldier
Galphimia gracilis	slender goldshower
Gamochaeta americana	American everlasting
Gamochaeta argyrinea	silvery everlasting
Garcinia dulcis	Gourka
Garcinia hessii	lemon saptree
Garcinia mangostana	mangosteen
Garcinia portoricensis	palo de cruz
Gardenia jasminoides	Cape jasmine
Gaussia attenuata	llume
Genipa americana	jagua
Geophila repens	corrida yerba de guava
Gesneria citrina	yerba Puerto Rico de cueva
Gesneria cuneifolia	yerba parrera
Gesneria pauciflora	yerba maricao de cueva
Gesneria pedunculosa	arbol de Navidad
Gesneria reticulata	yerba neto hoja de cueva
Gesneria viridiflora	grassflower
Gibasis geniculata	Tahitian bridalveil
Ginoria rohrii	bastard gregre
Glandularia bipinnatifida	Dakota mock vervain
Glandularia pulchella	South American mock vervain
Gliricidia sepium	quickstick
Gloxinia perennis	Canterbury bells
Glycine max	soybean
Gmelina arborea	gumhar
Gmelina asiatica	Asian bushbeech
Gnaphalium polycaulon	many stem cudweed
Goetzea elegans	mata buey
Gomidesia lindeniana	grand merisier
Gomphrena globosa	common globe amaranth
Gomphrena serrata	arrasa con todo
Gonocalyx concolor	island brittleleaf
Gonocalyx portoricensis	Puerto Rico brittleleaf
Gonolobus stephanotrichus	anglepod
Gonzalagunia hirsuta	mata de Mariposa
Gossypium barbadense	Creole cotton
Gossypium hirsutum	upland cotton
Gouania lupuloides	whiteroot
Gouania polygama	liane savon
Govenia floridana	tropical govenia
Graffenrieda ottoschulzii	petites graines camasey
Grammitis aspleniifolia	spleenwort dwarf polypody
Grammitis cultrata	scaly dwarf polypody
Grammitis hanekeana	Sierra de Luquillo dwarf polypody
Grammitis hessii	tape dwarf polypody
Grammitis liogieri	Liogier's dwarf polypody
Grammitis mollissima	smooth dwarf polypody
Grammitis sherringii	Sherring's dwarf polypody
Grammitis taxifolia	yewleaf dwarf polypody
Grammitis trichomanoides	Antilles dwarf polypody
Graptophyllum pictum	caricature-plant
Grevillea robusta	silkoak
Guaiacum officinale	lignum-vitae
Guaiacum sanctum	holywood
Guapira discolor	beeftree
Guapira fragrans	black mampoo
Guapira obtusata	corcho prieto
Guarea glabra	alligatorwood
Guarea guidonia	American muskwood
Guatteria blainii	haya minga
Guatteria caribaea	haya blanca
Guazuma ulmifolia	bastardcedar
Guettarda elliptica	hammock velvetseed
Guettarda krugii	frogwood
Guettarda odorata	cucubano de vieques
Guettarda ovalifolia	cucubano
Guettarda pungens	roseta
Guettarda scabra	wild guave
Guettarda valenzuelana	cucubano de monte
Gundlachia corymbosa	yambush
Guzmania berteroniana	Bertero's tufted airplant
Guzmania lingulata	droophead tufted airplant
Guzmania monostachia	West Indian tufted airplant
Gyminda latifolia	West Indian false box
Gymnanthes lucida	oysterwood
Gymnopogon foliosus	leafy skeletongrass
Gymnosiphon niveus	Puerto Rico yellowseed
Gymnosiphon sphaerocarpus	mountain yellowseed
Gynerium sagittatum	wildcane
Habenaria alata	winged bog orchid
Habenaria amalfitana	Guadeloupe bog orchid
Habenaria distans	hammock bog orchid
Habenaria eustachya	woodland bog orchid
Habenaria monorrhiza	tropical bog orchid
Habenaria odontopetala	toothpetal bog orchid
Habenaria repens	waterspider bog orchid
Hackelochloa granularis	pitscale grass
Haematoxylum campechianum	bloodwoodtree
Haenianthus salicifolius	palo de hueso
Halodule wrightii	shoalweed
Halophila baillonis	Florida Keys seagrass
Halophila decipiens	Caribbean seagrass
Hamelia axillaris	balsamillo
Hamelia patens	scarletbush
Hapalorchis lineatus	tropical ladies'-tresses
Harrisella porrecta	needleroot airplant orchid
Harrisia portoricensis	Puerto Rico applecactus
Hebeclinium macrophyllum	largeleaf thoroughwort
Hebestigma cubense	false locust
Hecistopteris pumila	moss fern
Hedychium coronarium	white garland-lily
Hedychium flavescens	cream garland-lily
Hedyosmum arborescens	cigarbush
Helianthus annuus	common sunflower
Heliconia bihai	macawflower
Heliconia caribaea	lobsterclaw
Heliconia psittacorum	parakeetflower
Heliconia rostrata	false bird of paradise
Heliconia stricta	Dwarf Jamaican Heliconia
Heliconia subulata	Guatemalan bird of paradise
Helicteres jamaicensis	screwtree
Heliotropium amplexicaule	clasping heliotrope
Heliotropium angiospermum	scorpion's-tail
Heliotropium arborescens	garden heliotrope
Heliotropium curassavicum	salt heliotrope
Heliotropium fruticosum	Key West heliotrope
Heliotropium guanicense	cotorrilla
Heliotropium indicum	Indian heliotrope
Heliotropium lagoense	Antilles heliotrope
Heliotropium microphyllum	littleleaf heliotrope
Heliotropium procumbens	fourspike heliotrope
Heliotropium ternatum	bushy heliotrope
Helleriella punctulata	dotted orchid
Hemidictyum marginatum	halfnetfern
Hemigraphis alternata	redivy
Hemigraphis reptans	redflame
Hemionitis palmata	starfern
Henriettea fascicularis	camasey peludo
Henriettea macfadyenii	MacFadyen's camasey
Henriettea membranifolia	thinleaf camasey
Henriettea squamulosum	jusillo
Herissantia crispa	bladdermallow
Hernandia sonora	mago
Hesperocyparis arizonica	Arizona cypress
Hesperocyparis macrocarpa	Monterey cypress
Heteranthera limosa	blue mudplantain
Heteranthera reniformis	kidneyleaf mudplantain
Heteropogon contortus	tanglehead
Heteropterys laurifolia	dragon withe
Heteropterys purpurea	bull withe
Heteropterys wydleriana	ahorca caballo
Hibiscus acetosella	African rosemallow
Hibiscus bifurcatus	fork-bracted rosemallow
Hibiscus cannabinus	brown Indianhemp
Hibiscus clypeatus	Congo mahoe
Hibiscus elatus	mahoe
Hibiscus furcellatus	lindenleaf rosemallow
Hibiscus pernambucensis	seaside mahoe
Hibiscus phoeniceus	Brazilian rosemallow
Hibiscus rosa-sinensis	shoeblackplant
Hibiscus sabdariffa	roselle
Hibiscus schizopetalus	fringed rosemallow
Hibiscus trilobus	threelobe rosemallow
Hillia parasitica	tibey trepador
Hippeastrum puniceum	Barbados lily
Hippobroma longiflora	madamfate
Hippocratea volubilis	medicine vine
Hippomane mancinella	manchineel
Hirtella rugosa	teta de burra cinarron
Hirtella triandra	pigeonberry
Histiopteris incisa	batwing fern
Hohenbergia antillana	Antilles lacebark
Hohenbergia attenuata	longtip lacebark
Hohenbergia portoricensis	Puerto Rico lacebark
Holcus lanatus	common velvetgrass
Holmskioldia sanguinea	Chinese hatplant
Homalium racemosum	white cogwood
Homalocladium platycladum	ribbonbush
Homolepis glutinosa	sticky panicgrass
Hoya carnosa	porcelainflower
Huperzia acerosa	Puerto Rico clubmoss
Huperzia aqualupiana	treetrunk clubmoss
Huperzia dichotoma	hanging clubmoss
Huperzia funiformis	royal clubmoss
Huperzia linifolia	needleleaf clubmoss
Huperzia lucidula	shining clubmoss
Huperzia reflexa	Antilles clubmoss
Huperzia sintenisii	Sintenis' clubmoss
Huperzia taxifolia	yewleaf clubmoss
Huperzia tenuicaulis	narrowleaf clubmoss
Huperzia wilsonii	Wilson's clubmoss
Hura crepitans	sandbox tree
Hybanthus linearifolius	chancleta
Hydrocleys nymphoides	waterpoppy
Hydrocotyle bonariensis	largeleaf pennywort
Hydrocotyle hirsuta	yerba de clavo
Hydrocotyle prolifera	whorled marshpennywort
Hydrocotyle pusilla	tropical marshpennywort
Hydrocotyle umbellata	manyflower marshpennywort
Hyeronima clusioides	cedro macho
Hygrophila costata	yerba de hicotea
Hylocereus trigonus	strawberry-pear
Hylocereus undatus	nightblooming cactus
Hymenachne amplexicaulis	West Indian marsh grass
Hymenaea courbaril	stinkingtoe
Hymenocallis caribaea	Caribbean spiderlily
Hymenocallis expansa	West Indian spiderlily
Hymenocallis latifolia	perfumed spiderlily
Hymenophyllum asplenioides	Caribbean filmy fern
Hymenophyllum axillare	axillary filmy fern
Hymenophyllum brevifrons	Antilles filmy fern
Hymenophyllum decurrens	Sierra de Luquillo filmy fern
Hymenophyllum fragile	fragile filmy fern
Hymenophyllum fucoides	graceful filmy fern
Hymenophyllum hirsutum	hairy filmy fern
Hymenophyllum lanatum	woolly filmy fern
Hymenophyllum lineare	longtom filmy fern
Hymenophyllum macrothecum	mountain filmy fern
