Abelmoschus esculentus	okra
Antrophyum lanceolatum	straight lineleaf fern
Antrophyum lineatum	narrow lineleaf fern
Antrophyum urbanii	Urban's lineleaf fern
Apteria aphylla	nodding nixie
Arachis hypogaea	peanut
Arachis repens	creeping peanut
Arachniodes chaerophylloides	false hollyfern
Ardisia glauciflora	ausubon
Ardisia luquillensis	mountain marlberry
Ardisia obovata	Guadeloupe marlberry
Ardisia solanacea	China-shrub
Argemone mexicana	Mexican pricklypoppy
Argusia gnaphalodes	sea rosemary
Argyreia nervosa	elephant creeper
Argythamnia candicans	sharpleaf silverbush
Argythamnia fasciculata	broom silverbush
Argythamnia stahlii	bluntleaf silverbush
Aristida adscensionis	sixweeks threeawn
Aristida chaseae	Chase's threeawn
Aristida portoricensis	pelos del diablo
Aristida refracta	islandthicket threeawn
Aristida spiciformis	bottlebrush threeawn
Aristida suringarii	St. Eustatius threeawn
Aristida swartziana	Swartz's threeawn
Aristolochia bilabiata	West Indian dutchman's pipe
Aristolochia elegans	elegant dutchman's pipe
Aristolochia ringens	gaping dutchman's pipe
Aristolochia trilobata	bejuco de santiago
Arrabidaea chica	cricketvine
Arracacia xanthorrhiza	arracacha
Arthraxon castratus	castrate carpetgrass
Arthrostemma fragile	fragile pinkfringe
Arthrostylidium farctum	old man's beard
Arthrostylidium multispicatum	woodland climbing bamboo
Arthrostylidium sarmentosum	forest climbing bamboo
Artocarpus altilis	breadfruit
Artocarpus heterophyllus	jackfruit
Arundina graminifolia	bamboo orchid
Arundinella hispida	rabo de gato
Arundo donax	giant reed
Asclepias curassavica	bloodflower
Asclepias nivea	Caribbean milkweed
Asparagus aethiopicus	Sprenger's asparagus fern
Asparagus setaceus	common asparagus fern
Asplenium abscissum	cutleaf spleenwort
Asplenium auriculatum	treetrunk spleenwort
Asplenium cirrhatum	chestnut scale spleenwort
Asplenium corderoanum	Rio Abajo spleenwort
Asplenium cristatum	parsley spleenwort
Asplenium cuneatum	wedgeleaf spleenwort
Asplenium erosum	eared spleenwort
Asplenium feei	Fee's spleenwort
Asplenium flabellulatum	Latin American spleenwort
Asplenium formosum	showy spleenwort
Asplenium heterochroum	bicolored spleenwort
Asplenium juglandifolium	walnut spleenwort
Asplenium laetum	brownstem spleenwort
Asplenium obtusifolium	bluntleaf spleenwort
Asplenium ocoense	rockledge spleenwort
Asplenium pseudoerectum	Antilles spleenwort
Asplenium pteropus	West Indian spleenwort
Asplenium pumilum	dwarf spleenwort
Asplenium radicans	dullgreen spleenwort
Asplenium rhomboidale	Caribbean spleenwort
Asplenium rutaceum	rue spleenwort
Asplenium salicifolium	willowleaf spleenwort
Asplenium serra	creeping spleenwort
Asplenium serratum	wild birdnest fern
Asplenium sessilifolium	Hispaniolan spleenwort
Asplenium trichomanes-dentatum	toothed spleenwort
Asplenium uniseriale	shinystem spleenwort
Asplenium verecundum	limestone spleenwort
Astrolepis sinuata	wavy scaly cloakfern
Asystasia gangetica	Chinese violet
Atriplex cristata	crested saltbush
Atriplex littoralis	grassleaf orache
Auerodendron pauciflorum	turtlefat
Avena sativa	common oat
Averrhoa carambola	carambola
Avicennia germinans	black mangrove
Axonopus aureus	golden carpetgrass
Axonopus compressus	broadleaf carpetgrass
Axonopus fissifolius	common carpetgrass
Ayenia ardua	wingstem ayenia
Ayenia insulicola	dwarf ayenia
Azadirachta indica	neem
Azolla caroliniana	Carolina mosquitofern
Baccharis dioica	broombush false willow
Baccharis myrsinites	Santo Domingo false willow
Bacopa innominata	tropical waterhyssop
Bacopa monnieri	herb of grace
Bacopa repens	creeping waterhyssop
Bacopa stricta	yerba de culebra
Bambusa multiplex	hedge bamboo
Bambusa vulgaris	common bamboo
Banara portoricensis	Puerto Rico palo de ramon
Banara vanderbiltii	Vanderbilt's palo de ramon
Banisteriopsis lucida	paralejo de monte
Barbieria pinnata	clitoria
